Commune,Département (numéro),Département (nom),Région
Amagney,25,Doubs,Bourgogne-Franche-Comte
Amailloux,79,Deux-Sèvres,Nouvelle-Aquitaine
Amance,10,Aube,Grand Est
Amance,54,Meurthe-et-Moselle,Grand Est
Amance,70,Haute-Saône,Bourgogne-Franche-Comte
Amancey,25,Doubs,Bourgogne-Franche-Comte
Amancy,74,Haute-Savoie,Auvergne-Rhone-Alpes
Amange,39,Jura,Bourgogne-Franche-Comte
Amanlis,35,Ille-et-Vilaine,Bretagne
Amanty,55,Meuse,Grand Est
Amanvillers,57,Moselle,Grand Est
Amanzé,71,Saône-et-Loire,Bourgogne-Franche-Comte
Amarens,81,Tarn,Occitanie
Amathay-Vésigneux,25,Doubs,Bourgogne-Franche-Comte
Amayé-sur-Orne,14,Calvados,Normandie
Amayé-sur-Seulles,14,Calvados,Normandie
Amazy,58,Nièvre,Bourgogne-Franche-Comte
Ambacourt,88,Vosges,Grand Est
Ambarès-et-Lagrave,33,Gironde,Nouvelle-Aquitaine
Ambax,31,Haute-Garonne,Occitanie
Ambazac,87,Haute-Vienne,Nouvelle-Aquitaine
Ambel,38,Isère,Auvergne-Rhone-Alpes
Ambenay,27,Eure,Normandie
Ambérac,16,Charente,Nouvelle-Aquitaine
Ambérieu-en-Bugey,01,Ain,Auvergne-Rhone-Alpes
Ambérieux,69,Rhone,Auvergne-Rhone-Alpes
Ambérieux-en-Dombes,01,Ain,Auvergne-Rhone-Alpes
Ambernac,16,Charente,Nouvelle-Aquitaine
Amberre,86,Vienne,Nouvelle-Aquitaine
Ambert,63,Puy-de-Dôme,Auvergne-Rhone-Alpes
Ambès,33,Gironde,Nouvelle-Aquitaine
Ambeyrac,12,Aveyron,Occitanie
Amné,72,Sarthe,Pays de la Loire
Amnéville,57,Moselle,Grand Est
Amoncourt,70,Haute-Saône,Bourgogne-Franche-Comte
Amondans,25,Doubs,Bourgogne-Franche-Comte
Amont-et-Effreney,70,Haute-Saône,Bourgogne-Franche-Comte
Amorots-Succos,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Amou,40,Landes,Nouvelle-Aquitaine
Ampilly-le-Sec,21,Côte-d'Or,Bourgogne-Franche-Comte
Ampilly-les-Bordes,21,Côte-d'Or,Bourgogne-Franche-Comte
Amplepuis,69,Rhone,Auvergne-Rhone-Alpes
Amplier,62,Pas-de-Calais,Hauts-de-France
Ampoigné,53,Mayenne,Pays de la Loire
Amponville,77,Seine-et-Marne,ile-de-France
Ampriani,2B,Haute-Corse,Corse
Ampuis,69,Rhone,Auvergne-Rhone-Alpes
Ampus,83,Var,Provence-Alpes-Cote d'Azur
Amuré,79,Deux-Sèvres,Nouvelle-Aquitaine
Amy,60,Oise,Hauts-de-France
Anais,16,Charente,Nouvelle-Aquitaine
Anais,17,Charente-Maritime,Nouvelle-Aquitaine
Angecourt,08,Ardennes,Grand Est
Angeduc,16,Charente,Nouvelle-Aquitaine
Angely,89,Yonne,Bourgogne-Franche-Comte
Angeot,90,Territoire de Belfort,Bourgogne-Franche-Comte
Angers,49,Maine-et-Loire,Pays de la Loire
Angerville,14,Calvados,Normandie
Angerville,91,Essonne,ile-de-France
Angerville-Bailleul,76,Seine-Maritime,Normandie
Angerville-l'Orcher,76,Seine-Maritime,Normandie
Angerville-la-Campagne,27,Eure,Normandie
Angerville-la-Martel,76,Seine-Maritime,Normandie
Angervilliers,91,Essonne,ile-de-France
Angeville,82,Tarn-et-Garonne,Occitanie
Angevillers,57,Moselle,Grand Est
Angicourt,60,Oise,Hauts-de-France
Angiens,76,Seine-Maritime,Normandie
Angoustrine-Villeneuve-des-Escaldes,66,Pyrénées-Orientales,Occitanie
Angoville,14,Calvados,Normandie
Angres,62,Pas-de-Calais,Hauts-de-France
Angresse,40,Landes,Nouvelle-Aquitaine
Angrie,49,Maine-et-Loire,Pays de la Loire
Anguilcourt-le-Sart,02,Aisne,Hauts-de-France
Angy,60,Oise,Hauts-de-France
Anhaux,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Anhiers,59,Nord,Hauts-de-France
Aniane,34,Hérault,Occitanie
Aniche,59,Nord,Hauts-de-France
Anisy,14,Calvados,Normandie
Anizy-le-Château,02,Aisne,Hauts-de-France
Anjeux,70,Haute-Saône,Bourgogne-Franche-Comte
Anjou,38,Isère,Auvergne-Rhone-Alpes
Anjouin,36,Indre,Centre-Val de Loire
Annot,04,Alpes-de-Haute-Provence,Provence-Alpes-Cote d'Azur
Annouville-Vilmesnil,76,Seine-Maritime,Normandie
Annoux,89,Yonne,Bourgogne-Franche-Comte
Annoville,50,Manche,Normandie
Anor,59,Nord,Hauts-de-France
Anos,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Anost,71,Saône-et-Loire,Bourgogne-Franche-Comte
Anould,88,Vosges,Grand Est
Anoux,54,Meurthe-et-Moselle,Grand Est
Anoye,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Anquetierville,76,Seine-Maritime,Normandie
Anrosey,52,Haute-Marne,Grand Est
Ansac-sur-Vienne,16,Charente,Nouvelle-Aquitaine
Ansacq,60,Oise,Hauts-de-France
Ansan,32,Gers,Occitanie
Ansauville,54,Meurthe-et-Moselle,Grand Est
Ansauvillers,60,Oise,Hauts-de-France
Anse,69,Rhone,Auvergne-Rhone-Alpes
Anse-Bertrand,971,Guadeloupe,Guadeloupe
Les Anses-d'Arlet,972,Martinique,Martinique
Aouze,88,Vosges,Grand Est
Apach,57,Moselle,Grand Est
Apatou,973,Guyane,Guyane
Apchat,63,Puy-de-Dôme,Auvergne-Rhone-Alpes
Apchon,15,Cantal,Auvergne-Rhone-Alpes
Apinac,42,Loire,Auvergne-Rhone-Alpes
Appelle,81,Tarn,Occitanie
Appenai-sous-Bellême,61,Orne,Normandie
Appenans,25,Doubs,Bourgogne-Franche-Comte
Appenwihr,68,Haut-Rhin,Grand Est
Appeville,50,Manche,Normandie
Appeville-Annebault,27,Eure,Normandie
Appietto,2A,Corse-du-Sud,Corse
Appilly,60,Oise,Hauts-de-France
Appoigny,89,Yonne,Bourgogne-Franche-Comte
Apprieu,38,Isère,Auvergne-Rhone-Alpes
Appy,09,Ariège,Occitanie
Apremont,01,Ain,Auvergne-Rhone-Alpes
Apremont,08,Ardennes,Grand Est
Apremont,60,Oise,Hauts-de-France
Apremont,70,Haute-Saône,Bourgogne-Franche-Comte
Apremont,73,Savoie,Auvergne-Rhone-Alpes
Apremont,85,Vendée,Pays de la Loire
Apremont-la-Forêt,55,Meuse,Grand Est
Apremont-sur-Allier,18,Cher,Centre-Val de Loire
Aprey,52,Haute-Marne,Grand Est
Apt,84,Vaucluse,Provence-Alpes-Cote d'Azur
Arabaux,09,Ariège,Occitanie
Arâches-la-Frasse,74,Haute-Savoie,Auvergne-Rhone-Alpes
Aragnouet,65,Hautes-Pyrénées,Occitanie
Aragon,11,Aude,Occitanie
Aramits,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Aramon,30,Gard,Occitanie
Aranc,01,Ain,Auvergne-Rhone-Alpes
Arancou,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arandas,01,Ain,Auvergne-Rhone-Alpes
Arandon,38,Isère,Auvergne-Rhone-Alpes
Arandon-Passins,38,Isère,Auvergne-Rhone-Alpes
Araujuzon,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Araules,43,Haute-Loire,Auvergne-Rhone-Alpes
Araux,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arbanats,33,Gironde,Nouvelle-Aquitaine
Arbas,31,Haute-Garonne,Occitanie
Arbecey,70,Haute-Saône,Bourgogne-Franche-Comte
Arbellara,2A,Corse-du-Sud,Corse
Arbent,01,Ain,Auvergne-Rhone-Alpes
Arbéost,65,Hautes-Pyrénées,Occitanie
Arbérats-Sillègue,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arbigny,01,Ain,Auvergne-Rhone-Alpes
Arbigny-sous-Varennes,52,Haute-Marne,Grand Est
Arbin,73,Savoie,Auvergne-Rhone-Alpes
Arbis,33,Gironde,Nouvelle-Aquitaine
Arblade-le-Bas,32,Gers,Occitanie
Arblade-le-Haut,32,Gers,Occitanie
Arbois,39,Jura,Bourgogne-Franche-Comte
Arcomps,18,Cher,Centre-Val de Loire
Arcon,42,Loire,Auvergne-Rhone-Alpes
Arçon,25,Doubs,Bourgogne-Franche-Comte
Arconcey,21,Côte-d'Or,Bourgogne-Franche-Comte
Arçonnay,72,Sarthe,Pays de la Loire
Arconsat,63,Puy-de-Dôme,Auvergne-Rhone-Alpes
Arconville,10,Aube,Grand Est
Les Arcs,83,Var,Provence-Alpes-Cote d'Azur
Arcueil,94,Val-de-Marne,ile-de-France
